[2024-09-15T16:43:57.449+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-09-15T16:43:53.634795+00:00 [queued]>
[2024-09-15T16:43:57.459+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-09-15T16:43:53.634795+00:00 [queued]>
[2024-09-15T16:43:57.460+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2024-09-15T16:43:57.472+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2024-09-15 16:43:53.634795+00:00
[2024-09-15T16:43:57.481+0000] {standard_task_runner.py:57} INFO - Started process 4087 to run task
[2024-09-15T16:43:57.489+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'manual__2024-09-15T16:43:53.634795+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmp2wteoqwt']
[2024-09-15T16:43:57.507+0000] {standard_task_runner.py:85} INFO - Job 5: Subtask generate_txn_fact_data
[2024-09-15T16:43:57.586+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-09-15T16:43:53.634795+00:00 [running]> on host 035d47951d03
[2024-09-15T16:43:57.654+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='codewithyu' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2024-09-15T16:43:53.634795+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-09-15T16:43:53.634795+00:00'
[2024-09-15T16:43:57.659+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.5', 9092) IPv4]
[2024-09-15T16:43:57.661+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2024-09-15T16:43:57.663+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: Connection complete.
[2024-09-15T16:43:57.773+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2024-09-15T16:43:57.774+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-09-15T16:43:57.939+0000] {conn.py:380} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.18.0.5', 9092) IPv4]
[2024-09-15T16:43:57.944+0000] {conn.py:410} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: Connection complete.
[2024-09-15T16:43:57.946+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.18.0.5', 9092)]>: Closing connection. 
[2024-09-15T16:43:58.346+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1705250637777, 'account_id': 'A00087', 'customer_id': 'C00092', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00100', 'transaction_amount': 2463.86, 'exchange_rate': 1.0185}
[2024-09-15T16:43:58.349+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1700239438349, 'account_id': 'A00038', 'customer_id': 'C00075', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00065', 'transaction_amount': 6068.74, 'exchange_rate': 1.1783}
[2024-09-15T16:43:58.350+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1725727438350, 'account_id': 'A00004', 'customer_id': 'C00063', 'transaction_type': 'Withdrawal', 'currency': 'USD', 'branch_id': 'B00043', 'transaction_amount': 2301.61, 'exchange_rate': 0.759}
[2024-09-15T16:43:58.352+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1725468238351, 'account_id': 'A00040', 'customer_id': 'C00053', 'transaction_type': 'Withdrawal', 'currency': 'GBP', 'branch_id': 'B00062', 'transaction_amount': 9699.91, 'exchange_rate': 0.9347}
[2024-09-15T16:43:58.353+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1724517838352, 'account_id': 'A00075', 'customer_id': 'C00029', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00003', 'transaction_amount': 9268.27, 'exchange_rate': 1.4011}
[2024-09-15T16:43:58.353+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1699289038353, 'account_id': 'A00004', 'customer_id': 'C00007', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00035', 'transaction_amount': 3634.61, 'exchange_rate': 1.1417}
[2024-09-15T16:43:58.353+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1714581838353, 'account_id': 'A00029', 'customer_id': 'C00007', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00018', 'transaction_amount': 9642.06, 'exchange_rate': 1.0279}
[2024-09-15T16:43:58.354+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1702658638354, 'account_id': 'A00048', 'customer_id': 'C00044', 'transaction_type': 'Withdrawal', 'currency': 'USD', 'branch_id': 'B00053', 'transaction_amount': 9879.1, 'exchange_rate': 1.312}
[2024-09-15T16:43:58.354+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000009', 'transaction_date': 1710434638354, 'account_id': 'A00022', 'customer_id': 'C00052', 'transaction_type': 'Withdrawal', 'currency': 'GBP', 'branch_id': 'B00048', 'transaction_amount': 7814.3, 'exchange_rate': 0.611}
[2024-09-15T16:43:58.355+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000010', 'transaction_date': 1703695438355, 'account_id': 'A00077', 'customer_id': 'C00041', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00033', 'transaction_amount': 170.82, 'exchange_rate': 0.5774}
[2024-09-15T16:43:58.355+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000011', 'transaction_date': 1703263438355, 'account_id': 'A00085', 'customer_id': 'C00049', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00085', 'transaction_amount': 4651.83, 'exchange_rate': 1.112}
[2024-09-15T16:43:58.356+0000] {kafka_operator.py:61} INFO - Sent transaction: {'transaction_id': 'T000012', 'transaction_date': 1710953038356, 'account_id': 'A00071', 'customer_id': 'C00082', 'transaction_type': 'Withdrawal', 'currency': 'EUR', 'branch_id': 'B00051', 'transaction_amount': 1993.34, 'exchange_rate': 1.2759}
